Original Word,After Doubled Letter Removal
web,webb
ib,iib
through,thorough
ines,innes
tess,tests
cana,canna
wee,weee
xix,xxix
noes,noses
tran,taran
due,dude
ty,tty
oder,order
wol,wool
sizes,seizes
bro,boro
deuce,deduce
hazard,hazzard
bared,barbed
kit,kitt
fuji,fujii
angel,angell
andre,andree
fes,fess
met,meet
immorality,immortality
owing,owning
hil,hill
mite,mitte
talbot,talbott
simulate,stimulate
ariba,arriba
kron,kroon
nids,ninds
bets,beets
nw,nnw
moa,moma
miko,mikko
keio,keiko
wen,ween
rhonda,rhondda
has,haas
tiling,titling
pole,poole
occured,occurred
samy,sammy
janette,jeanette
sel,sell
scoped,scooped
ab,aab
forester,forrester
wf,wwf
sim,simm
rigs,riggs
para,parra
site,seite
soo,sooo
russet,russert
xviii,xxviii
xxvii,xxviii
more,moore
cores,crores
gto,goto
ga,gga
wily,willy
tous,touts
lena,leena
op,opp
curtis,curtiss
ds,dss
signaling,signalling
aml,amal
fazer,frazer
ne,nee
shh,shhh
debi,debbi
netcom,netcomm
set,sett
sx,ssx
wiser,weiser
gas,gaas
bm,bbm
saco,sacco
tomy,tommy
nci,nici
det,deet
commited,committed
uc,ucc
xvi,xxvi
pas,psas
siena,sienna
nem,neem
off,ooff
oof,ooff
up,uup
nor,noor
apx,appx
rosa,rossa
cmi,cmmi
pco,poco
his,hiss
map,mmap
too,toto
pia,piaa
guiness,guinness
ers,eres
titel,tittel
haley,halley
prat,pratt
masa,massa
hes,hess
plc,plcc
ic,iic
gals,galls
montpelier,montpellier
me,mme
dugan,duggan
imagine,immagine
coke,cooke
lap,lapp
coral,corral
gis,gigs
aes,ases
afr,afar
fol,fool
pra,para
malle,mallee
bestiality,beastiality
beastality,beastiality
salas,salsas
jenna,jeanna
emerson,emmerson
war,warr
ye,yee
skil,skill
haj,hajj
mclain,mcclain
vom,voom
dig,digg
nichols,nicholls
mi,mii
ded,deed
mut,mutt
does,doses
hoch,hooch
comer,commer
transex,transsex
galeon,galleon
picket,pickett
egan,eagan
sk,skk
sdu,sdsu
elm,elem
bd,bdd
toes,totes
dales,dalles
sal,sasl
ken,keen
cvs,cvss
backlash,backslash
tca,taca
franchise,franchisee
ionic,iconic
gato,gatto
heron,herron
tatoos,tattoos
loi,loli
vile,ville
slop,sloop
shen,sehen
trot,trott
sana,sansa
reduces,reducers
grater,greater
fp,ffp
mariott,marriott
marriot,marriott
bas,babs
ceil,cecil
sl,ssl
masai,maasai
amature,armature
aby,abby
xx,xxx
directv,directtv
nose,noose
tiling,tilting
ahhh,ahhhh
gabber,grabber
graber,grabber
retaining,retraining
bartley,bartleby
goble,gobble
boned,bonded
ret,rett
em,emm
amn,aman
til,till
sn,ssn
kyla,kayla
ap,app
carton,cartoon
rta,rata
glyn,glynn
ali,alli
taa,tata
tta,tata
amon,ammon
ema,emea
beyer,breyer
hra,hara
asi,aisi
kits,kitts
cf,ccf
tips,tipps
cs,css
hol,holl
asn,assn
tyrell,tyrrell
lia,lila
don,donn
done,donne
lc,llc
bul,bull
oh,ooh
later,latter
archeological,archaeological
ins,inns
shepard,sheppard
jugs,juggs
dus,duds
marni,marini
liters,litters
removes,removers
mus,muss
kid,kidd
terence,terrence
par,parr
coed,coded
lis,liss
bq,bbq
irs,iris
caters,craters
coats,coasts
bars,barbs
drives,derives
trafic,traffic
diners,dinners
dmitri,dimitri
der,deer
toth,thoth
divers,drivers
continous,continuous
bene,beene
profesional,professional
apr,apar
pres,preps
rs,rrs
ims,isms
mana,manna
mol,moll
harnett,hartnett
writing,writting
ss,sss
bar,barr
endo,enddo
jet,jett
td,tdd
dve,deve
canvas,canvass
lein,lenin
hot,hott
spas,spass
adp,adap
mona,moana
tiga,taiga
dury,drury
ge,gee
logins,loggins
est,eest
pad,padd
mot,moot
iam,imam
mile,miele
forster,foerster
orin,orion
ugs,uggs
mating,matting
ree,rree
rre,rree
adams,addams
lowe,loewe
raver,reaver
cie,ccie
pe,pee
cma,cama
fo,foo
ek,eek
